Description,Error Rate Difference
Ideal Values,0.0
MLP GENDER Mitigation,-0.0211477529390168
MLP DIR GENDER Mitigation,0.0003280924425915
MLP Reweighed GENDER Mitigation,-0.0168349518134333
MLP AGE Mitigation,-0.1171011353224964
MLP DIR AGE Mitigation,-0.1127470550645241
MLP Reweighed AGE Mitigation,-0.0817755779914118
MLP AGE&GENDER Mitigation,-0.0186210902297284
MLP DIR AGE&GENDER Mitigation,-0.0183234626520953
MLP Reweighed AGE&GENDER Mitigation,-0.019156413397861
GRU GENDER Mitigation,-0.0364544404742656
GRU DIR GENDER Mitigation,-0.0150225651960478
GRU Reweighed GENDER Mitigation,0.0004265385625351
GRU AGE Mitigation,-0.1279294996433845
GRU DIR AGE Mitigation,-0.0968166343025748
GRU Reweighed AGE Mitigation,-0.0915564454826927
GRU AGE&GENDER Mitigation,-0.040484243524171
GRU DIR AGE&GENDER Mitigation,-0.0096442160275844
GRU Reweighed AGE&GENDER Mitigation,-0.018687626575089
LSTM GENDER Mitigation,-0.0366356655558169
LSTM DIR GENDER Mitigation,-0.0220908630841364
LSTM Reweighed GENDER Mitigation,-0.0190719308382749
LSTM AGE Mitigation,-0.1299456346423044
LSTM DIR AGE Mitigation,-0.0989348823700696
LSTM Reweighed AGE Mitigation,-0.0968553580422194
LSTM AGE&GENDER Mitigation,-0.0441140075895067
LSTM DIR AGE&GENDER Mitigation,-0.0244726662388037
LSTM Reweighed AGE&GENDER Mitigation,0.002356934843859
LSTM GENDER Mitigation,-0.0357599614408198
RNN DIR GENDER Mitigation,-0.0088927465976645
RNN Reweighed GENDER Mitigation,-0.0244082246838165
LSTM AGE Mitigation,-0.1255907830446375
RNN DIR AGE Mitigation,-0.1166949921133332
RNN Reweighed AGE Mitigation,-0.1019279413474189
LSTM AGE&GENDER Mitigation,-0.0396915945746545
RNN DIR AGE&GENDER Mitigation,0.0059254530820682
RNN Reweighed AGE&GENDER Mitigation,-0.0157723269672023
CNN GENDER Mitigation,-0.0568734114069886
CNN DIR GENDER Mitigation,-0.0300453375041634
CNN Reweighed GENDER Mitigation,-0.0421148770672173
CNN AGE Mitigation,-0.1027230030275317
CNN DIR AGE Mitigation,-0.0632557172978672
CNN Reweighed AGE Mitigation,-0.0758796537280258
CNN AGE&GENDER Mitigation,-0.0363976459454664
CNN DIR AGE&GENDER Mitigation,-0.0347195107452938
CNN Reweighed AGE&GENDER Mitigation,0.0239128901058459
RFC GENDER Mitigation,-0.0568734114069886
RFC DIR GENDER Mitigation,-0.0261163650244073
RFC Reweighed GENDER Mitigation,-0.0149950590004478
RFC AGE Mitigation,-0.1027230030275317
RFC DIR AGE Mitigation,-0.108116251042922
RFC Reweighed AGE Mitigation,-0.1047544727022976
RFC AGE&GENDER Mitigation,-0.0363976459454664
RFC DIR AGE&GENDER Mitigation,-0.022602814680987
RFC Reweighed AGE&GENDER Mitigation,-0.0108792132805672
