Description,False Discovery Rate
Ideal Values,0.0
MLP GENDER Mitigation,0.4777481932293648
MLP DIR GENDER Mitigation,0.4682433721152012
MLP Reweighed GENDER Mitigation,0.4824953445065177
MLP AGE Mitigation,0.4777481932293648
MLP DIR AGE Mitigation,0.4913887871015023
MLP Reweighed AGE Mitigation,0.4742802303262955
MLP AGE&GENDER Mitigation,0.4777481932293648
MLP DIR AGE&GENDER Mitigation,0.4679487179487179
MLP Reweighed AGE&GENDER Mitigation,0.4724216093690971
GRU GENDER Mitigation,0.4832471759525177
GRU DIR GENDER Mitigation,0.4783861671469741
GRU Reweighed GENDER Mitigation,0.4760105780128447
GRU AGE Mitigation,0.4832471759525177
GRU DIR AGE Mitigation,0.4881696006057164
GRU Reweighed AGE Mitigation,0.479900933511145
GRU AGE&GENDER Mitigation,0.4832471759525177
GRU DIR AGE&GENDER Mitigation,0.4804971319311663
GRU Reweighed AGE&GENDER Mitigation,0.4659973479825725
LSTM GENDER Mitigation,0.4834159359512009
LSTM DIR GENDER Mitigation,0.4864501249279262
LSTM Reweighed GENDER Mitigation,0.4828689759036144
LSTM AGE Mitigation,0.4834159359512009
LSTM DIR AGE Mitigation,0.4800607671857197
LSTM Reweighed AGE Mitigation,0.4718428437792329
LSTM AGE&GENDER Mitigation,0.4834159359512009
LSTM DIR AGE&GENDER Mitigation,0.488486221215553
LSTM Reweighed AGE&GENDER Mitigation,0.4786550812240272
LSTM GENDER Mitigation,0.4864658787647731
RNN DIR GENDER Mitigation,0.4913109180204004
RNN Reweighed GENDER Mitigation,0.4714986787466969
LSTM AGE Mitigation,0.4864658787647731
RNN DIR AGE Mitigation,0.4777591662013772
RNN Reweighed AGE Mitigation,0.4888304862023653
LSTM AGE&GENDER Mitigation,0.4864658787647731
RNN DIR AGE&GENDER Mitigation,0.4802478698683191
RNN Reweighed AGE&GENDER Mitigation,0.4793687012740065
CNN GENDER Mitigation,0.509020618556701
CNN DIR GENDER Mitigation,0.4933554817275747
CNN Reweighed GENDER Mitigation,0.5115224097260025
CNN AGE Mitigation,0.509020618556701
CNN DIR AGE Mitigation,0.5173489994492381
CNN Reweighed AGE Mitigation,0.5014880952380952
CNN AGE&GENDER Mitigation,0.509020618556701
CNN DIR AGE&GENDER Mitigation,0.4989122552574329
CNN Reweighed AGE&GENDER Mitigation,0.5044411547002221
RFC GENDER Mitigation,0.509020618556701
RFC DIR GENDER Mitigation,0.485053581500282
RFC Reweighed GENDER Mitigation,0.4820747520976354
RFC AGE Mitigation,0.509020618556701
RFC DIR AGE Mitigation,0.4750607136185316
RFC Reweighed AGE Mitigation,0.4803044719314938
RFC AGE&GENDER Mitigation,0.509020618556701
RFC DIR AGE&GENDER Mitigation,0.486186806991167
RFC Reweighed AGE&GENDER Mitigation,0.4735260983852797
