Description,False Negative Rate Difference
Ideal Values,0.0
MLP GENDER Mitigation,0.0881644608343165
MLP DIR GENDER Mitigation,0.1249060161348697
MLP Reweighed GENDER Mitigation,0.1187368783881177
MLP AGE Mitigation,-0.204639742533214
MLP DIR AGE Mitigation,-0.1636990430888665
MLP Reweighed AGE Mitigation,-0.1538402801711239
MLP AGE&GENDER Mitigation,-0.0574176492898507
MLP DIR AGE&GENDER Mitigation,-0.0581832459774526
MLP Reweighed AGE&GENDER Mitigation,-0.0263130616228586
GRU GENDER Mitigation,0.0796540090549725
GRU DIR GENDER Mitigation,0.1085921125333522
GRU Reweighed GENDER Mitigation,0.1410571889078242
GRU AGE Mitigation,-0.1966083482062905
GRU DIR AGE Mitigation,-0.1812032127909836
GRU Reweighed AGE Mitigation,-0.1499671591715274
GRU AGE&GENDER Mitigation,-0.0538467733276065
GRU DIR AGE&GENDER Mitigation,-0.0091201164842643
GRU Reweighed AGE&GENDER Mitigation,-0.0436502347191377
LSTM GENDER Mitigation,0.0787618474654102
LSTM DIR GENDER Mitigation,0.0986542422291017
LSTM Reweighed GENDER Mitigation,0.0831963863350888
LSTM AGE Mitigation,-0.204183366578767
LSTM DIR AGE Mitigation,-0.1686744949956654
LSTM Reweighed AGE Mitigation,-0.1547198042006421
LSTM AGE&GENDER Mitigation,-0.063491893052722
LSTM DIR AGE&GENDER Mitigation,-0.0463205491944472
LSTM Reweighed AGE&GENDER Mitigation,-0.0312131344990966
LSTM GENDER Mitigation,0.0783611742861953
RNN DIR GENDER Mitigation,0.1167350246840356
RNN Reweighed GENDER Mitigation,0.1094905788482252
LSTM AGE Mitigation,-0.21564532165729
RNN DIR AGE Mitigation,-0.1833107691459713
RNN Reweighed AGE Mitigation,-0.2015600338819859
LSTM AGE&GENDER Mitigation,-0.075856329861484
RNN DIR AGE&GENDER Mitigation,0.0007304948878196
RNN Reweighed AGE&GENDER Mitigation,-0.0402780484635873
CNN GENDER Mitigation,0.0889720741655709
CNN DIR GENDER Mitigation,0.1209891485809682
CNN Reweighed GENDER Mitigation,0.1350575140320098
CNN AGE Mitigation,-0.2067857738363583
CNN DIR AGE Mitigation,-0.1575477845752345
CNN Reweighed AGE Mitigation,-0.1608284113281841
CNN AGE&GENDER Mitigation,-0.0581237249006764
CNN DIR AGE&GENDER Mitigation,-0.0454909132472282
CNN Reweighed AGE&GENDER Mitigation,0.0231327606257268
RFC GENDER Mitigation,0.0889720741655709
RFC DIR GENDER Mitigation,0.0993773061210797
RFC Reweighed GENDER Mitigation,0.0776714529160425
RFC AGE Mitigation,-0.2067857738363583
RFC DIR AGE Mitigation,-0.177517766186128
RFC Reweighed AGE Mitigation,-0.1500704400019842
RFC AGE&GENDER Mitigation,-0.0581237249006764
RFC DIR AGE&GENDER Mitigation,-0.0483249865844106
RFC Reweighed AGE&GENDER Mitigation,-0.0372191472691889
