Description,False Negative Rate Ratio
Ideal Values,1.0
MLP GENDER Mitigation,1.2054687246861724
MLP DIR GENDER Mitigation,1.3103876954052878
MLP Reweighed GENDER Mitigation,1.2976337751595486
MLP AGE Mitigation,0.6024706149871557
MLP DIR AGE Mitigation,0.66952664278158
MLP Reweighed AGE Mitigation,0.6993025610410356
MLP AGE&GENDER Mitigation,0.8808854615203946
MLP DIR AGE&GENDER Mitigation,0.8703667760890906
MLP Reweighed AGE&GENDER Mitigation,0.9411922219447544
GRU GENDER Mitigation,1.1833029340883734
GRU DIR GENDER Mitigation,1.2555659200138376
GRU Reweighed GENDER Mitigation,1.360905736473366
GRU AGE Mitigation,0.6172751643965714
GRU DIR AGE Mitigation,0.63697392493609
GRU Reweighed AGE Mitigation,0.6978901425973969
GRU AGE&GENDER Mitigation,0.8894181206758731
GRU DIR AGE&GENDER Mitigation,0.9802738553701328
GRU Reweighed AGE&GENDER Mitigation,0.9044661030548212
LSTM GENDER Mitigation,1.1819436361545457
LSTM DIR GENDER Mitigation,1.2306726013636722
LSTM Reweighed GENDER Mitigation,1.1955236121143746
LSTM AGE Mitigation,0.6019752682165764
LSTM DIR AGE Mitigation,0.6649399947325224
LSTM Reweighed AGE Mitigation,0.6836525942916298
LSTM AGE&GENDER Mitigation,0.869109020475927
LSTM DIR AGE&GENDER Mitigation,0.9017951368842224
LSTM Reweighed AGE&GENDER Mitigation,0.9329128101469318
LSTM GENDER Mitigation,1.1796428060084287
RNN DIR GENDER Mitigation,1.279114242792914
RNN Reweighed GENDER Mitigation,1.2680631413180683
LSTM AGE Mitigation,0.5838858673632329
RNN DIR AGE Mitigation,0.6272651494455769
RNN Reweighed AGE Mitigation,0.607561685183691
LSTM AGE&GENDER Mitigation,0.8448130045581854
RNN DIR AGE&GENDER Mitigation,1.0015777550403588
RNN Reweighed AGE&GENDER Mitigation,0.9140917278647638
CNN GENDER Mitigation,1.20416215497689
CNN DIR GENDER Mitigation,1.2976283367556467
CNN Reweighed GENDER Mitigation,1.3385040240229038
CNN AGE Mitigation,0.6037157052336577
CNN DIR AGE Mitigation,0.6931427000105683
CNN Reweighed AGE Mitigation,0.6861525275959394
CNN AGE&GENDER Mitigation,0.8809768231260264
CNN DIR AGE&GENDER Mitigation,0.9014363546310056
CNN Reweighed AGE&GENDER Mitigation,1.0489303794455112
RFC GENDER Mitigation,1.20416215497689
RFC DIR GENDER Mitigation,1.2374982013731846
RFC Reweighed GENDER Mitigation,1.1777862151732643
RFC AGE Mitigation,0.6037157052336577
RFC DIR AGE Mitigation,0.6406717193700424
RFC Reweighed AGE Mitigation,0.7008459617809201
RFC AGE&GENDER Mitigation,0.8809768231260264
RFC DIR AGE&GENDER Mitigation,0.8976920149662093
RFC Reweighed AGE&GENDER Mitigation,0.9205311057327796
