Description,False Omission Rate Ratio
Ideal Values,1.0
MLP GENDER Mitigation,1.2824927052170372
MLP DIR GENDER Mitigation,1.320483051338598
MLP Reweighed GENDER Mitigation,1.2918492829880317
MLP AGE Mitigation,0.7141766605089837
MLP DIR AGE Mitigation,0.7461872961282496
MLP Reweighed AGE Mitigation,0.8118412307280353
MLP AGE&GENDER Mitigation,1.388685920256319
MLP DIR AGE&GENDER Mitigation,1.5107846302873749
MLP Reweighed AGE&GENDER Mitigation,1.5069309139989768
GRU GENDER Mitigation,1.2554447459118576
GRU DIR GENDER Mitigation,1.271637234021149
GRU Reweighed GENDER Mitigation,1.357354410220567
GRU AGE Mitigation,0.6935159777653407
GRU DIR AGE Mitigation,0.7834445660068244
GRU Reweighed AGE Mitigation,0.7785412131546019
GRU AGE&GENDER Mitigation,1.3177268373389064
GRU DIR AGE&GENDER Mitigation,1.36882673567142
GRU Reweighed AGE&GENDER Mitigation,1.3702546597626004
LSTM GENDER Mitigation,1.256112227415195
LSTM DIR GENDER Mitigation,1.251876279115274
LSTM Reweighed GENDER Mitigation,1.276398280702997
LSTM AGE Mitigation,0.6851343108089591
LSTM DIR AGE Mitigation,0.7399110453187431
LSTM Reweighed AGE Mitigation,0.7623308564904597
LSTM AGE&GENDER Mitigation,1.3184736700215671
LSTM DIR AGE&GENDER Mitigation,1.4617778836987607
LSTM Reweighed AGE&GENDER Mitigation,1.418853589441034
LSTM GENDER Mitigation,1.2546710972242887
RNN DIR GENDER Mitigation,1.3141217122462436
RNN Reweighed GENDER Mitigation,1.2530631591420784
LSTM AGE Mitigation,0.6890208705377275
RNN DIR AGE Mitigation,0.7060305653501416
RNN Reweighed AGE Mitigation,0.7644815668202766
LSTM AGE&GENDER Mitigation,1.3458397879766326
RNN DIR AGE&GENDER Mitigation,1.4315780867424877
RNN Reweighed AGE&GENDER Mitigation,1.4235947248973748
CNN GENDER Mitigation,1.183177553590978
CNN DIR GENDER Mitigation,1.3104130789171489
CNN Reweighed GENDER Mitigation,1.2622092881372478
CNN AGE Mitigation,0.7434823433550578
CNN DIR AGE Mitigation,0.8035962186818271
CNN Reweighed AGE Mitigation,0.7943144100093691
CNN AGE&GENDER Mitigation,1.345884487043466
CNN DIR AGE&GENDER Mitigation,1.3491039877525768
CNN Reweighed AGE&GENDER Mitigation,1.475262290363936
RFC GENDER Mitigation,1.183177553590978
RFC DIR GENDER Mitigation,1.2471597595640287
RFC Reweighed GENDER Mitigation,1.2796378873973488
RFC AGE Mitigation,0.7434823433550578
RFC DIR AGE Mitigation,0.7461111171436604
RFC Reweighed AGE Mitigation,0.7668306938326968
RFC AGE&GENDER Mitigation,1.345884487043466
RFC DIR AGE&GENDER Mitigation,1.4252684942345166
RFC Reweighed AGE&GENDER Mitigation,1.442557866315882
