Description,False Omission Rate
Ideal Values,0.0
MLP GENDER Mitigation,0.4987975951903807
MLP DIR GENDER Mitigation,0.4905094905094905
MLP Reweighed GENDER Mitigation,0.488109881098811
MLP AGE Mitigation,0.4987975951903807
MLP DIR AGE Mitigation,0.5018789144050104
MLP Reweighed AGE Mitigation,0.5055577610162763
MLP AGE&GENDER Mitigation,0.4987975951903807
MLP DIR AGE&GENDER Mitigation,0.4846278317152103
MLP Reweighed AGE&GENDER Mitigation,0.4921275736778361
GRU GENDER Mitigation,0.4897512437810945
GRU DIR GENDER Mitigation,0.5022803886575451
GRU Reweighed GENDER Mitigation,0.4874848607186112
GRU AGE Mitigation,0.4897512437810945
GRU DIR AGE Mitigation,0.473313192346425
GRU Reweighed AGE Mitigation,0.4806961392278455
GRU AGE&GENDER Mitigation,0.4897512437810945
GRU DIR AGE&GENDER Mitigation,0.4854523714627342
GRU Reweighed AGE&GENDER Mitigation,0.4936606963171664
LSTM GENDER Mitigation,0.4898040783686525
LSTM DIR GENDER Mitigation,0.489197224975223
LSTM Reweighed GENDER Mitigation,0.4931118314424635
LSTM AGE Mitigation,0.4898040783686525
LSTM DIR AGE Mitigation,0.4925732637494981
LSTM Reweighed AGE Mitigation,0.4911278808892514
LSTM AGE&GENDER Mitigation,0.4898040783686525
LSTM DIR AGE&GENDER Mitigation,0.5068686868686869
LSTM Reweighed AGE&GENDER Mitigation,0.4828421477593863
LSTM GENDER Mitigation,0.4930027988804478
RNN DIR GENDER Mitigation,0.5014129995962858
RNN Reweighed GENDER Mitigation,0.4937373737373737
LSTM AGE Mitigation,0.4930027988804478
RNN DIR AGE Mitigation,0.4855384615384615
RNN Reweighed AGE Mitigation,0.5025401341190815
LSTM AGE&GENDER Mitigation,0.4930027988804478
RNN DIR AGE&GENDER Mitigation,0.4899685287175452
RNN Reweighed AGE&GENDER Mitigation,0.493886550410904
CNN GENDER Mitigation,0.5176495016611296
CNN DIR GENDER Mitigation,0.5074534161490684
CNN Reweighed GENDER Mitigation,0.5068608824150306
CNN AGE Mitigation,0.5176495016611296
CNN DIR AGE Mitigation,0.5169756300770673
CNN Reweighed AGE Mitigation,0.5151888341543513
CNN AGE&GENDER Mitigation,0.5176495016611296
CNN DIR AGE&GENDER Mitigation,0.5143702451394759
CNN Reweighed AGE&GENDER Mitigation,0.5150701899256812
RFC GENDER Mitigation,0.5176495016611296
RFC DIR GENDER Mitigation,0.4942178940961655
RFC Reweighed GENDER Mitigation,0.4978017585931255
RFC AGE Mitigation,0.5176495016611296
RFC DIR AGE Mitigation,0.4923391215526047
RFC Reweighed AGE Mitigation,0.4932906068495894
RFC AGE&GENDER Mitigation,0.5176495016611296
RFC DIR AGE&GENDER Mitigation,0.492388877613152
RFC Reweighed AGE&GENDER Mitigation,0.5030475416497359
