Description,Generalized Equalized Odds Difference
Ideal Values,0.0
MLP GENDER Mitigation,0.1344516917360824
MLP DIR GENDER Mitigation,0.1292744057479645
MLP Reweighed GENDER Mitigation,0.1476401668015314
MLP AGE Mitigation,0.2046397425332141
MLP DIR AGE Mitigation,0.1636990430888665
MLP Reweighed AGE Mitigation,0.1538402801711239
MLP AGE&GENDER Mitigation,0.107739890277972
MLP DIR AGE&GENDER Mitigation,0.1446667541327735
MLP Reweighed AGE&GENDER Mitigation,0.107230145975626
GRU GENDER Mitigation,0.1554913535084802
GRU DIR GENDER Mitigation,0.1459376809544522
GRU Reweighed GENDER Mitigation,0.1410571889078242
GRU AGE Mitigation,0.1966083482062905
GRU DIR AGE Mitigation,0.1812032127909836
GRU Reweighed AGE Mitigation,0.1499671591715273
GRU AGE&GENDER Mitigation,0.0538467733276065
GRU DIR AGE&GENDER Mitigation,0.0541356492969395
GRU Reweighed AGE&GENDER Mitigation,0.091829129966545
LSTM GENDER Mitigation,0.1535739524442966
LSTM DIR GENDER Mitigation,0.1442694105737583
LSTM Reweighed GENDER Mitigation,0.1180957970584959
LSTM AGE Mitigation,0.2041833665787669
LSTM DIR AGE Mitigation,0.1686744949956655
LSTM Reweighed AGE Mitigation,0.1547198042006421
LSTM AGE&GENDER Mitigation,0.0634918930527219
LSTM DIR AGE&GENDER Mitigation,0.107025118479731
LSTM Reweighed AGE&GENDER Mitigation,0.1202570285716619
LSTM GENDER Mitigation,0.1512928167608912
RNN DIR GENDER Mitigation,0.1340713219743694
RNN Reweighed GENDER Mitigation,0.1622520267493555
LSTM AGE Mitigation,0.2156453216572899
RNN DIR AGE Mitigation,0.1833107691459713
RNN Reweighed AGE Mitigation,0.2015600338819858
LSTM AGE&GENDER Mitigation,0.0819917319917319
RNN DIR AGE&GENDER Mitigation,0.0799424802996037
RNN Reweighed AGE&GENDER Mitigation,0.1019592883406979
CNN GENDER Mitigation,0.1959542317924842
CNN DIR GENDER Mitigation,0.1758820254076255
CNN Reweighed GENDER Mitigation,0.2039843768606064
CNN AGE Mitigation,0.2067857738363583
CNN DIR AGE Mitigation,0.1575477845752345
CNN Reweighed AGE Mitigation,0.1608284113281842
CNN AGE&GENDER Mitigation,0.0861978861978861
CNN DIR AGE&GENDER Mitigation,0.0752440140694991
CNN Reweighed AGE&GENDER Mitigation,0.1272453133120976
RFC GENDER Mitigation,0.1959542317924842
RFC DIR GENDER Mitigation,0.150012895398046
RFC Reweighed GENDER Mitigation,0.1081860711373303
RFC AGE Mitigation,0.2067857738363583
RFC DIR AGE Mitigation,0.177517766186128
RFC Reweighed AGE Mitigation,0.1500704400019841
RFC AGE&GENDER Mitigation,0.0861978861978861
RFC DIR AGE&GENDER Mitigation,0.1055848939012706
RFC Reweighed AGE&GENDER Mitigation,0.1205231534721792
