Description,Number of False Positives
Ideal Values,
MLP GENDER Mitigation,2512.0
MLP DIR GENDER Mitigation,2455.0
MLP Reweighed GENDER Mitigation,2591.0
MLP AGE Mitigation,2512.0
MLP DIR AGE Mitigation,2682.0
MLP Reweighed AGE Mitigation,2471.0
MLP AGE&GENDER Mitigation,2512.0
MLP DIR AGE&GENDER Mitigation,2482.0
MLP Reweighed AGE&GENDER Mitigation,2501.0
GRU GENDER Mitigation,2524.0
GRU DIR GENDER Mitigation,2490.0
GRU Reweighed GENDER Mitigation,2520.0
GRU AGE Mitigation,2524.0
GRU DIR AGE Mitigation,2579.0
GRU Reweighed AGE Mitigation,2519.0
GRU AGE&GENDER Mitigation,2524.0
GRU DIR AGE&GENDER Mitigation,2513.0
GRU Reweighed AGE&GENDER Mitigation,2460.0
LSTM GENDER Mitigation,2536.0
LSTM DIR GENDER Mitigation,2531.0
LSTM Reweighed GENDER Mitigation,2565.0
LSTM AGE Mitigation,2536.0
LSTM DIR AGE Mitigation,2528.0
LSTM Reweighed AGE Mitigation,2522.0
LSTM AGE&GENDER Mitigation,2536.0
LSTM DIR AGE&GENDER Mitigation,2588.0
LSTM Reweighed AGE&GENDER Mitigation,2534.0
LSTM GENDER Mitigation,2552.0
RNN DIR GENDER Mitigation,2601.0
RNN Reweighed GENDER Mitigation,2498.0
LSTM AGE Mitigation,2552.0
RNN DIR AGE Mitigation,2567.0
RNN Reweighed AGE Mitigation,2604.0
LSTM AGE&GENDER Mitigation,2552.0
RNN DIR AGE&GENDER Mitigation,2480.0
RNN Reweighed AGE&GENDER Mitigation,2521.0
CNN GENDER Mitigation,2765.0
CNN DIR GENDER Mitigation,2673.0
CNN Reweighed GENDER Mitigation,2819.0
CNN AGE Mitigation,2765.0
CNN DIR AGE Mitigation,2818.0
CNN Reweighed AGE Mitigation,2696.0
CNN AGE&GENDER Mitigation,2765.0
CNN DIR AGE&GENDER Mitigation,2752.0
CNN Reweighed AGE&GENDER Mitigation,2726.0
RFC GENDER Mitigation,2765.0
RFC DIR GENDER Mitigation,2580.0
RFC Reweighed GENDER Mitigation,2528.0
RFC AGE Mitigation,2765.0
RFC DIR AGE Mitigation,2543.0
RFC Reweighed AGE Mitigation,2524.0
RFC AGE&GENDER Mitigation,2765.0
RFC DIR AGE&GENDER Mitigation,2587.0
RFC Reweighed AGE&GENDER Mitigation,2522.0
